Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
303,Adam Choice*,Clemson,ACC,13,67,326,4.9,6,25.1,8,48,6.0,0,3.7,75,374,5.0,6,,adam-choice-1
304,A.J. Erdely*,UAB,CUSA,13,122,326,2.7,13,25.1,1,3,3.0,0,0.2,123,329,2.7,13,,aj-erdely-1
305,Chase Hayden,Arkansas,SEC,7,61,326,5.3,4,46.6,1,23,23.0,0,3.3,62,349,5.6,4,,chase-hayden-1
306,Kenny Hill*,Texas Christian,Big 12,13,100,325,3.3,5,25.0,3,76,25.3,2,5.8,103,401,3.9,7,,kenny-hill-1
307,Josh Jackson*,Virginia Tech,ACC,13,124,324,2.6,6,24.9,0,0,,0,0.0,124,324,2.6,6,,josh-jackson-3
308,Michael Warren II,Cincinnati,American,12,54,324,6.0,1,27.0,5,57,11.4,0,4.8,59,381,6.5,1,,michael-warren-ii-1
309,Art Pierce,Oregon State,Pac-12,12,68,323,4.8,1,26.9,15,128,8.5,0,10.7,83,451,5.4,1,,art-pierce-1
310,Darius Hoggins,Louisiana,Sun Belt,10,51,323,6.3,1,32.3,4,16,4.0,0,1.6,55,339,6.2,1,,darius-hoggins-1
311,Eli Stove*,Auburn,SEC,14,30,315,10.5,2,22.5,29,265,9.1,0,18.9,59,580,9.8,2,,eli-stove-1
312,Chris Warren III*,Texas,Big 12,12,71,314,4.4,6,26.2,18,229,12.7,2,19.1,89,543,6.1,8,,chris-warren-iii-1
313,JaMycal Hasty,Baylor,Big 12,8,76,314,4.1,1,39.3,25,105,4.2,0,13.1,101,419,4.1,1,,jamycal-hasty-1
