Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
68,Courtland Sutton,SMU,American,12,49,862,17.6,9,71.8,0,0,,0,0.0,49,862,17.6,9,,courtland-sutton-1
69,Jared Dangerfield*,Western Kentucky,CUSA,14,82,844,10.3,8,60.3,0,0,,0,0.0,82,844,10.3,8,,jared-dangerfield-1
70,Drew Morgan*,Arkansas,SEC,13,63,843,13.4,10,64.8,4,20,5.0,0,1.5,67,863,12.9,10,,drew-morgan-1
71,Hunter Sharp*,Utah State,MWC,11,71,835,11.8,9,75.9,8,20,2.5,0,1.8,79,855,10.8,9,,hunter-sharp-1
72,Cody Thompson*,Toledo,MAC,12,37,825,22.3,5,68.8,0,0,,0,0.0,37,825,22.3,5,,cody-thompson-1
73,Jamal Robinson,Louisiana,Sun Belt,12,54,824,15.3,5,68.7,0,0,,0,0.0,54,824,15.3,5,,jamal-robinson-3
74,Rodney Adams*,South Florida,American,13,45,822,18.3,9,63.2,10,81,8.1,1,6.2,55,903,16.4,10,,rodney-adams-1
75,Jenson Stoshak,Florida Atlantic,CUSA,12,57,820,14.4,2,68.3,0,0,,0,0.0,57,820,14.4,2,,jenson-stoshak-1
76,Ron Willoughby,Buffalo,MAC,12,62,813,13.1,6,67.8,0,0,,0,0.0,62,813,13.1,6,,ron-willoughby-1
77,Leonte Carroo,Rutgers,Big Ten,8,39,809,20.7,10,101.1,0,0,,0,0.0,39,809,20.7,10,,leonte-carroo-1
78,Bralon Addison*,Oregon,Pac-12,13,63,804,12.8,10,61.8,17,84,4.9,2,6.5,80,888,11.1,12,,bralon-addison-1
79,Kermit Whitfield*,Florida State,ACC,13,57,798,14.0,6,61.4,5,29,5.8,0,2.2,62,827,13.3,6,,kermit-whitfield-1
80,Mose Frazier*,Memphis,American,13,70,797,11.4,4,61.3,17,119,7.0,2,9.2,87,916,10.5,6,,mose-frazier-1
81,Jerome Lane*,Akron,MAC,13,39,782,20.1,8,60.2,0,0,,0,0.0,39,782,20.1,8,,jerome-lane-1
82,Michael Thomas*,Ohio State,Big Ten,13,56,781,13.9,9,60.1,0,0,,0,0.0,56,781,13.9,9,,michael-thomas-3
83,D.J. Thompson*,Southern Mississippi,CUSA,14,55,779,14.2,6,55.6,0,0,,0,0.0,55,779,14.2,6,,dj-thompson-1
84,Carlos Henderson*,Louisiana Tech,CUSA,11,36,774,21.5,5,70.4,5,54,10.8,0,4.9,41,828,20.2,5,,carlos-henderson-1
85,K.J. Maye*,Minnesota,Big Ten,13,73,773,10.6,5,59.5,9,46,5.1,1,3.5,82,819,10.0,6,,kj-maye-1
86,Sebastian Smith*,Ohio,MAC,13,64,770,12.0,7,59.2,0,0,,0,0.0,64,770,12.0,7,,sebastian-smith-1
87,Marcell Ateman*,Oklahoma State,Big 12,13,45,766,17.0,5,58.9,1,1,1.0,0,0.1,46,767,16.7,5,,marcell-ateman-1
88,Jehu Chesson*,Michigan,Big Ten,13,50,764,15.3,9,58.8,8,155,19.4,2,11.9,58,919,15.8,11,,jehu-chesson-1
89,Canaan Severin,Virginia,ACC,12,54,759,14.1,8,63.3,0,0,,0,0.0,54,759,14.1,8,,canaan-severin-1
90,Jay Lee*,Baylor,Big 12,13,38,758,19.9,8,58.3,1,-1,-1.0,0,-0.1,39,757,19.4,8,,jay-lee-1
91,Dezmon Epps,Idaho,Sun Belt,6,61,757,12.4,2,126.2,0,0,,0,0.0,61,757,12.4,2,,dezmon-epps-1
92,Brandon Reilly*,Nebraska,Big Ten,13,40,754,18.9,4,58.0,11,96,8.7,0,7.4,51,850,16.7,4,,brandon-reilly-1
93,Chance Allen*,Houston,American,14,56,752,13.4,6,53.7,0,0,,0,0.0,56,752,13.4,6,,chance-allen-2
94,Jerico Richardson*,Nevada,MWC,13,68,750,11.0,5,57.7,1,1,1.0,1,0.1,69,751,10.9,6,,jerico-richardson-1
